铁木真 1162 1227 
术赤 1178 1225 铁木真
察合台 1183 1241 铁木真
窝阔台 1186 1241 铁木真
拖雷 1193 1232 铁木真
阔列坚 1208 1238 铁木真
拔都 1205 1255 术赤
贵由 1206 1248 窝阔台
阔端 1206 1251 窝阔台
阔出 1208 1236 窝阔台
蒙哥 1209 1259 拖雷
忽必烈 1215 1294 拖雷
旭烈兀 1217 1265 拖雷
阿里不哥 1219 1266 拖雷
忽察 1224 1274 贵由
脑忽 1226 1286 贵由
禾忽 1230 1260 贵由
朵儿只 1233 1240 忽必烈
真金 1243 1285 忽必烈
忙哥剌 1245 1280 忽必烈
那木罕 1250 1292 忽必烈
阿八哈 1234 1282 旭烈兀
贴古迭儿 1236 1284 旭烈兀
明理帖木儿 1238 1278 阿里不哥
药木忽儿 1245 1308 阿里不哥
甘麻剌 1263 1302 真金
铁穆耳 1265 1307 真金
松山 1281 1328 甘麻剌
也孙铁木儿 1293 1328 甘麻剌
阿速吉八 1320 1328 也孙铁木儿
铁木真 1162 1227 
术赤 1178 1225 铁木真
察合台 1183 1241 铁木真
窝阔台 1186 1241 铁木真
拖雷 1193 1232 铁木真
阔列坚 1208 1238 铁木真
拔都 1205 1255 术赤
贵由 1206 1248 窝阔台
阔端 1206 1251 窝阔台
阔出 1208 1236 窝阔台
蒙哥 1209 1259 拖雷
忽必烈 1215 1294 拖雷
旭烈兀 1217 1265 拖雷
阿里不哥 1219 1266 拖雷
忽察 1224 1274 贵由
脑忽 1226 1286 贵由
禾忽 1230 1260 贵由
朵儿只 1233 1240 忽必烈
真金 1243 1285 忽必烈
忙哥剌 1245 1280 忽必烈
那木罕 1250 1292 忽必烈
阿八哈 1234 1282 旭烈兀
贴古迭儿 1236 1284 旭烈兀
明理帖木儿 1238 1278 阿里不哥
药木忽儿 1245 1308 阿里不哥
甘麻剌 1263 1302 真金
铁穆耳 1265 1307 真金
松山 1281 1328 甘麻剌
也孙铁木儿 1293 1328 甘麻剌
阿速吉八 1320 1328 也孙铁木儿
